Country,Happiness Score,GDP per Capita,Social Support,Social Support.1,Healthy Life Expectancy,Healthy Life Expectancy.1,Freedom to Make Life Choices,Freedom to Make Life Choices.1,Generosity,Generosity.1,Perceptions of Corruption,Perceptions of Corruption.1,Year,Continent
Finland,7.808700085,1.285189509,0.954329729,1.499525905,71.9008255,0.961271405,0.949172199,0.66231674,-0.059482019,0.159670442,0.195444584,0.477857262,2020,Europe
Denmark,7.645599842,1.326948524,0.955990791,1.503449202,72.40250397,0.979332566,0.951444268,0.665039897,0.066201776,0.242793396,0.168489456,0.495260328,2020,Europe
Switzerland,7.559899807,1.39077425,0.942846596,1.472403407,74.10244751,1.040533185,0.921336651,0.62895447,0.105911039,0.269055754,0.303728431,0.407945901,2020,Europe
Iceland,7.504499912,1.326501608,0.974669576,1.547567487,73.0,1.000843406,0.948891878,0.661980748,0.246944219,0.362330228,0.711709738,0.144540772,2020,Europe
Norway,7.487999916,1.42420733,0.952486575,1.495172501,73.20078278,1.008071899,0.955750287,0.670200884,0.13453263,0.287985086,0.263218194,0.434100568,2020,Europe
Netherlands,7.448900223,1.338946342,0.93913883,1.463645935,72.30091858,0.975675344,0.908547819,0.61362648,0.20761244,0.336317569,0.364717126,0.368569762,2020,Europe
Sweden,7.353499889,1.322235227,0.926311195,1.433347702,72.60076904,0.986470461,0.939144194,0.650297701,0.111614622,0.272827893,0.250880182,0.442066371,2020,Europe
New Zealand,7.299600124,1.242317915,0.949118972,1.48721838,73.20262909,1.008138299,0.936217487,0.646789908,0.191598073,0.325726211,0.22113885,0.461268276,2020,Oceania
Austria,7.294199944,1.317285538,0.928045869,1.437444925,73.00250244,1.000933528,0.899989486,0.603368878,0.085429221,0.255509764,0.499954879,0.281256139,2020,Europe
Luxembourg,7.237500191,1.536676049,0.906912208,1.387528419,72.59999847,0.986442685,0.90563643,0.610137045,-0.004620588,0.19595392,0.367084295,0.367041469,2020,Europe
Canada,7.23210001,1.301647663,0.927176654,1.435391903,73.60160065,1.022501945,0.933913231,0.644028127,0.124770768,0.28152892,0.390843362,0.351701856,2020,America
