Country,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom to Make Life Choices,Generosity,Perceptions of Corruption,Year
Finland,1.892,1.258,0.775,0.736,0.109,0.534,2022
Denmark,1.953,1.243,0.777,0.719,0.188,0.532,2022
Iceland,1.936,1.32,0.803,0.718,0.27,0.191,2022
Switzerland,2.026,1.226,0.822,0.677,0.147,0.461,2022
Netherlands,1.945,1.206,0.787,0.651,0.271,0.419,2022
Luxembourg,2.209,1.155,0.79,0.7,0.12,0.388,2022
Sweden,1.92,1.204,0.803,0.724,0.218,0.512,2022
Norway,1.997,1.239,0.786,0.728,0.217,0.474,2022
Israel,1.826,1.221,0.818,0.568,0.155,0.143,2022
New Zealand,1.852,1.235,0.752,0.68,0.245,0.483,2022
Austria,1.931,1.165,0.774,0.623,0.193,0.329,2022
Australia,1.9,1.203,0.772,0.676,0.258,0.341,2022
Ireland,2.129,1.166,0.779,0.627,0.19,0.408,2022
Germany,1.924,1.088,0.776,0.585,0.163,0.358,2022
Canada,1.886,1.188,0.783,0.659,0.217,0.368,2022
United States,1.982,1.182,0.628,0.574,0.22,0.177,2022
United Kingdom,1.867,1.143,0.75,0.597,0.289,0.329,2022
Czechia,1.815,1.26,0.715,0.66,0.158,0.048,2022
Belgium,1.907,1.106,0.764,0.492,0.049,0.204,2022
France,1.863,1.219,0.808,0.567,0.07,0.266,2022
Bahrain,1.854,1.029,0.625,0.693,0.199,0.155,2022
Slovenia,1.81,1.249,0.769,0.685,0.118,0.115,2022
Costa Rica,1.584,1.054,0.744,0.661,0.089,0.102,2022
United Arab Emirates,1.998,0.98,0.633,0.702,0.204,0.25,2022
Saudi Arabia,1.87,1.092,0.577,0.651,0.078,0.18,2022
Taiwan Province of China,1.897,1.095,0.733,0.542,0.075,0.168,2022
Singapore,2.149,1.127,0.851,0.672,0.163,0.587,2022
Romania,1.719,1.006,0.655,0.605,0.039,0.006,2022
Spain,1.808,1.211,0.808,0.505,0.101,0.149,2022
Uruguay,1.615,1.18,0.672,0.665,0.103,0.265,2022
Italy,1.834,1.052,0.801,0.412,0.085,0.059,2022
Kosovo,1.362,0.949,0.569,0.599,0.309,0.035,2022
Malta,1.838,1.169,0.789,0.679,0.174,0.166,2022
Lithuania,1.804,1.204,0.659,0.496,0.053,0.077,2022
Slovakia,1.736,1.232,0.707,0.479,0.118,0.025,2022
Estonia,1.793,1.232,0.728,0.689,0.123,0.333,2022
Panama,1.715,1.107,0.709,0.592,0.049,0.051,2022
Brazil,1.462,1.044,0.615,0.546,0.131,0.134,2022
Guatemala,1.274,0.831,0.522,0.662,0.112,0.115,2022
Kazakhstan,1.668,1.22,0.611,0.584,0.134,0.157,2022
Cyprus,1.815,0.909,0.819,0.448,0.123,0.062,2022
Latvia,1.732,1.221,0.637,0.502,0.075,0.09,2022
Serbia,1.55,1.086,0.658,0.546,0.219,0.088,2022
Chile,1.651,1.08,0.748,0.46,0.124,0.069,2022
Nicaragua,1.105,1.029,0.617,0.617,0.168,0.212,2022
Mexico,1.552,0.886,0.623,0.621,0.092,0.115,2022
Croatia,1.705,1.183,0.709,0.535,0.109,0.0,2022
Poland,1.758,1.174,0.712,0.523,0.124,0.14,2022
