Country,Happiness Score,GDP per Capita,GDP per Capita,Social Support,Social Support,Healthy Life Expectancy,Healthy Life Expectancy,Freedom to Make Life Choices,Freedom to Make Life Choices,Generosity,Generosity,Perceptions of Corruption,Perceptions of Corruption,Year
Finland,7.804,10.792,1.888,0.969,1.585,71.15,0.535,0.961,0.772,-0.019,0.126,0.182,0.535,2023
Denmark,7.586,10.962,1.949,0.954,1.548,71.25,0.537,0.934,0.734,0.134,0.208,0.196,0.525,2023
Iceland,7.53,10.896,1.926,0.983,1.62,72.05,0.559,0.936,0.738,0.211,0.25,0.668,0.187,2023
Israel,7.473,10.639,1.833,0.943,1.521,72.697,0.577,0.809,0.569,-0.023,0.124,0.708,0.158,2023
Netherlands,7.403,10.942,1.942,0.93,1.488,71.55,0.545,0.887,0.672,0.213,0.251,0.379,0.394,2023
Sweden,7.395,10.883,1.921,0.939,1.51,72.15,0.562,0.948,0.754,0.165,0.225,0.202,0.52,2023
Norway,7.315,11.088,1.994,0.943,1.521,71.5,0.544,0.947,0.752,0.141,0.212,0.283,0.463,2023
Switzerland,7.24,11.164,2.022,0.92,1.463,72.9,0.582,0.891,0.678,0.027,0.151,0.266,0.475,2023
Luxembourg,7.228,11.66,2.2,0.879,1.357,71.675,0.549,0.915,0.71,0.024,0.149,0.345,0.418,2023
New Zealand,7.123,10.662,1.842,0.952,1.544,70.35,0.513,0.887,0.672,0.175,0.23,0.271,0.471,2023
Austria,7.097,10.899,1.927,0.888,1.382,71.15,0.535,0.855,0.63,0.102,0.191,0.497,0.31,2023
Australia,7.095,10.821,1.899,0.934,1.497,71.05,0.532,0.89,0.677,0.198,0.242,0.496,0.31,2023
Canada,6.961,10.773,1.881,0.929,1.484,71.4,0.541,0.874,0.656,0.153,0.218,0.42,0.364,2023
Ireland,6.911,11.527,2.152,0.905,1.425,71.3,0.539,0.874,0.656,0.092,0.186,0.358,0.409,2023
United States,6.894,11.048,1.98,0.919,1.46,65.85,0.39,0.8,0.557,0.137,0.21,0.689,0.172,2023
Germany,6.892,10.879,1.919,0.896,1.401,71.3,0.539,0.846,0.618,0.03,0.153,0.42,0.365,2023
Belgium,6.859,10.844,1.907,0.915,1.449,70.899,0.528,0.825,0.59,0.001,0.137,0.549,0.273,2023
Czechia,6.845,10.611,1.823,0.953,1.544,69.05,0.477,0.903,0.693,0.04,0.158,0.859,0.05,2023
